NTA,NTA Code,Borough ,Borough CD,Total Population,# 65+ Years,% 65+ Years,% 65+ Below Poverty,% Hispanic/Latino,% White,% Black,%Asian,% Other
Claremont-Bathgate,BX01,Bronx,203,35560.00,2692.00,7.6,42.1,60.6,1,37.3,0.1,0.01
Eastchester-Edenwald-Baychester,BX03,Bronx,212,37887.00,4939.00,13,11.7,24.6,3.1,66,4.2,0.02
Bedford Park-Fordham North,BX05,Bronx,207,57685.00,4993.00,8.7,30,75,4.2,15.6,3.8,0.02
Belmont,BX06,Bronx,206,29115.00,2197.00,7.5,28.9,61,18.2,16.3,2.1,0.02
Bronxdale,BX07,Bronx,211,39423.00,4780.00,12.1,23.2,54.9,13.9,26.1,2.9,0.02
West Farms-Bronx River,BX08,Bronx,209,36014.00,4063.00,11.3,21.3,65.8,2.7,26.6,2.8,0.02
Soundview-Castle Hill-Clason Point-Harding Park,BX09,Bronx,209,54925.00,8065.00,14.7,19.9,60.4,2.7,34.1,1.3,0.02
Pelham Bay-Country Club-City Island,BX10,Bronx,210,26877.00,5375.00,20,12.2,41.4,49.4,4.3,3.7,0.01
Co-op City,BX13,Bronx,210,47400.00,11354.00,24,15.2,28.3,6.6,59.2,2.3,0.04
East Concourse-Concourse Village,BX14,Bronx,204,64850.00,7727.00,11.9,30.8,63.3,1.6,31.2,1.4,0.03
East Tremont,BX17,Bronx,206,44057.00,5195.00,11.8,37,68.8,1.4,28.3,0.7,0.01
North Riverdale-Fieldston-Riverdale,BX22,Bronx,208,27551.00,7066.00,25.6,9.8,21.6,61.8,8.9,5.1,0.03
Highbridge,BX26,Bronx,204,39140.00,3309.00,8.5,40.6,64.3,2.5,32.1,0.5,0.01
Hunts Point,BX27,Bronx,202,26196.00,2551.00,9.7,45.1,70.7,1.7,26.5,0.4,0.01
Van Cortlandt Village,BX28,Bronx,208,50935.00,6333.00,12.4,23.6,69.7,8,16.1,3.7,0.03
Spuyten Duyvil-Kingsbridge,BX29,Bronx,208,31295.00,7431.00,23.7,9,38.7,45.7,8.2,4.9,0.03
Kingsbridge Heights,BX30,Bronx,207,32163.00,3888.00,12.1,34.9,75.7,3.5,15.6,2.3,0.03
Allerton-Pelham Gardens,BX31,Bronx,211,31993.00,6274.00,19.6,11.7,36.3,21,31,9.8,0.02
Longwood,BX33,Bronx,202,27864.00,2536.00,9.1,42.8,69.9,1.7,25.7,1.5,0.01
Melrose South-Mott Haven North,BX34,Bronx,201,42882.00,4062.00,9.5,40.1,65.6,1.7,30.4,0.6,0.02
Morrisania-Melrose,BX35,Bronx,203,40925.00,3621.00,8.8,31.8,58.3,1.2,38.2,1,0.01
University Heights-Morris Heights,BX36,Bronx,205,56293.00,4749.00,8.4,45.3,68.9,1.1,27.8,1.5,0.01
Van Nest-Morris Park-Westchester Square,BX37,Bronx,211,29004.00,3344.00,11.5,14.2,51.5,24.3,11.8,10,0.03
Mott Haven-Port Morris,BX39,Bronx,201,54163.00,4708.00,8.7,46.6,68.8,1.9,28,0.4,0.01
Fordham South,BX40,Bronx,205,28164.00,1853.00,6.6,43.8,71.6,0.7,25.3,0.4,0.02
Mount Hope,BX41,Bronx,205,53198.00,4661.00,8.8,36.6,69,1.3,26.4,1.4,0.02
Norwood,BX43,Bronx,207,42227.00,3855.00,9.1,29.9,63.5,9.7,13.5,10.7,0.03
Williamsbridge-Olinville,BX44,Bronx,212,66606.00,8250.00,12.4,16.9,26.4,2.4,68.3,1.3,0.02
Parkchester,BX46,Bronx,209,30372.00,3562.00,11.7,15.7,38.2,2,40.3,16.2,0.03
Pelham Parkway,BX49,Bronx,211,28913.00,4211.00,14.6,13.1,43.4,30.7,13.9,10,0.02
Schuylerville-Throgs Neck-Edgewater Park,BX52,Bronx,210,46810.00,7374.00,15.8,14.2,49.2,36.3,9.6,3.4,0.02
Soundview-Bruckner,BX55,Bronx,209,37130.00,4105.00,11.1,25.8,63.9,3,21.5,8.7,0.03
Westchester-Unionport BX59,,Bronx,209,28302.00,3492.00,12.3,18.2,59.9,4.3,17.7,13.8,0.04
Woodlawn-Wakefield BX62,,Bronx,212,43858.00,6387.00,14.6,9.6,17.8,15.1,58.5,5.1,0.04
West Concourse BX63,,Bronx,204,38081.00,3010.00,7.9,38.2,71.2,2,22.1,2.1,0.03
Crotona Park East BX75,,Bronx,203,22103.00,2353.00,10.6,36.8,67.6,0.8,29.6,1.6,0.01
Rikers Island BX98,,Bronx,401,7080.00,51.00,0.7,,32.9,7.6,56.3,1.8,0.02
park-cemetery-etc-Bronx BX99,,Bronx,212,831.00,54.00,6.5,18.5,35.6,10.6,39,0.4,0.14
Brooklyn Heights-Cobble Hill BK09,,Brooklyn,302,24168.00,3512.00,14.5,10.6,7.3,72.6,5.8,9.3,0.05
Sheepshead Bay-Gerritsen Beach-Manhattan Beach BK17,,Brooklyn,315,65631.00,13375.00,20.4,18.7,9.2,62.4,6.5,19.8,0.02
Brighton Beach BK19,,Brooklyn,313,34431.00,8875.00,25.8,40.7,10.7,71.2,0.7,13.8,0.04
Seagate-Coney Island BK21,,Brooklyn,313,32259.00,6409.00,19.9,42.8,27.9,31.7,29.2,8.7,0.02
West Brighton BK23,,Brooklyn,313,16774.00,6309.00,37.6,21.8,3.9,92.6,1.7,0.8,0.01
Homecrest BK25,,Brooklyn,315,45007.00,6943.00,15.4,23.5,11.8,72.8,1.9,9.8,0.04
Gravesend BK26,,Brooklyn,313,30587.00,5645.00,18.5,22.1,20.9,44.2,7.5,23.3,0.04
Bath Beach BK27,,Brooklyn,311,33020.00,5154.00,15.6,18.7,18.1,41.2,1.1,37.1,0.03
Bensonhurst West BK28,,Brooklyn,311,90847.00,13801.00,15.2,20.7,16.8,38.6,0.9,41.9,0.02
Bensonhurst East BK29,,Brooklyn,311,65502.00,10548.00,16.1,26,13.5,42.1,1,41,0.02
Dyker Heights BK30,,Brooklyn,310,43888.00,7429.00,16.9,16.6,13.7,43.7,0.9,40.4,0.01
Bay Ridge BK31,,Brooklyn,310,79187.00,12958.00,16.4,14.1,18.2,60.7,2.8,15.5,0.03
Sunset Park West BK32,,Brooklyn,307,54667.00,5386.00,9.9,26.3,61.5,17.9,3.3,15.5,0.02
Carroll Gardens-Columbia Street-Red Hook BK33,,Brooklyn,306,43766.00,4815.00,11,23.8,17.3,59.3,11.9,5.9,0.06
Sunset Park East BK34,,Brooklyn,307,66348.00,6471.00,9.8,32.3,30.9,14.6,1.4,51.6,0.02
Stuyvesant Heights BK35,,Brooklyn,303,69260.00,8260.00,11.9,20.9,17.2,12.7,64,3.3,0.03
Park Slope-Gowanus BK37,,Brooklyn,306,74731.00,7528.00,10.1,9.5,15.8,66.9,4.5,7.6,0.05
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum H BK38,,Brooklyn,302,45607.00,3994.00,8.8,23.3,19.1,44.5,20.3,11.8,0.04
Windsor Terrace BK40,,Brooklyn,307,22832.00,2965.00,13,15.6,13.8,68.7,3.9,10.1,0.04
Kensington-Ocean Parkway BK41,,Brooklyn,312,35510.00,4661.00,13.1,21.9,16.8,47.8,5.7,24.3,0.05
Flatbush BK42,,Brooklyn,314,106883.00,12346.00,11.6,23.1,18.7,24,44,10.1,0.03
Midwood BK43,,Brooklyn,314,54637.00,8741.00,16,24.5,7.6,73.6,4.6,11.8,0.02
Madison BK44,,Brooklyn,315,40958.00,7386.00,18,19.1,8.9,62.7,2.7,22.5,0.03
Georgetown-Marine Park-Bergen Beach-Mill Basin BK45,,Brooklyn,318,47726.00,8376.00,17.6,6.2,10.2,66.2,12.9,9,0.02
Ocean Parkway South BK46,,Brooklyn,312,20684.00,3282.00,15.9,16.9,8,83.5,1.2,4.1,0.03
Canarsie BK50,,Brooklyn,318,88522.00,11725.00,13.2,11.7,7.1,4.7,83.7,2.9,0.02
Flatlands,BK58,Brooklyn,318,72186.00,10917.00,15.1,7.1,9.4,16,67.7,4.9,0.02
Prospect Lefferts Gardens-Wingate,BK60,Brooklyn,309,69111.00,10130.00,14.7,21.3,9.6,17,68.4,2.3,0.03
Crown Heights North,BK61,Brooklyn,308,109987.00,12314.00,11.2,27.4,12.4,16.8,64.8,3,0.03
Crown Heights South,BK63,Brooklyn,309,40451.00,4988.00,12.3,12.2,6.2,32.8,57.2,1.2,0.03
Prospect Heights,BK64,Brooklyn,308,21237.00,2482.00,11.7,12.9,10.1,50.8,24.6,7.9,0.07
Fort Greene,BK68,Brooklyn,302,32193.00,3796.00,11.8,22,17.2,31.2,36.5,9.2,0.06
Clinton Hill,BK69,Brooklyn,302,38930.00,3766.00,9.7,17.8,11.4,44.8,33.5,6.4,0.04
Williamsburg,BK72,Brooklyn,301,34373.00,2966.00,8.6,27.4,8.9,85.7,4.4,0.5,0.00
North Side-South Side,BK73,Brooklyn,301,57036.00,4227.00,7.4,32.5,32.5,54.3,3,7,0.03
Bedford,BK75,Brooklyn,303,77847.00,6540.00,8.4,27.3,20.6,37.8,36.6,3.2,0.02
Greenpoint,BK76,Brooklyn,301,33918.00,3701.00,10.9,21.9,14.2,74.3,3,4.9,0.04
Bushwick North,BK77,Brooklyn,304,57051.00,4140.00,7.3,31.4,62.1,19.1,10,6.5,0.02
Bushwick South,BK78,Brooklyn,304,72925.00,7738.00,10.6,39.8,50,18.8,24.9,4.1,0.02
Ocean Hill,BK79,Brooklyn,316,35818.00,4023.00,11.2,28.3,21,5.7,70.8,1.4,0.01
Brownsville,BK81,Brooklyn,316,52174.00,6473.00,12.4,32.8,23,1,72.9,1.6,0.02
East New York,BK82,Brooklyn,305,96755.00,10320.00,10.7,25.3,28.9,1.9,64.8,2.4,0.02
Cypress Hills-City Line,BK83,Brooklyn,305,49063.00,4220.00,8.6,21.5,60.8,3.2,25.2,8,0.03
East New York (Pennsylvania Ave),BK85,Brooklyn,305,29063.00,2950.00,10.2,25.5,23.1,1.7,72.3,0.9,0.02
Borough Park,BK88,Brooklyn,312,102494.00,11183.00,10.9,21.1,8.6,76.7,1,12.9,0.01
East Williamsburg,BK90,Brooklyn,301,36038.00,4537.00,12.6,29.7,29.4,44.3,8.4,15,0.03
East Flatbush-Farragut,BK91,Brooklyn,317,51922.00,8788.00,16.9,11.5,6.4,2.1,87.9,1.8,0.02
Starrett City,BK93,Brooklyn,305,12956.00,3769.00,29.1,42.8,18.4,19.2,58.8,2.1,0.02
Erasmus,BK95,Brooklyn,317,28689.00,3903.00,13.6,18.4,8.7,6.4,81.4,1.4,0.02
Rugby-Remsen Village,BK96,Brooklyn,317,54666.00,8775.00,16.1,13.6,8,1.4,88.1,0.8,0.02
park-cemetery-etc-Brooklyn,BK99,Brooklyn,318,432.00,8.00,1.9,,23.8,51.2,11.8,7.6,0.06
Marble Hill-Inwood,MN01,Manhattan,112,52922.00,7057.00,13.3,24.8,71.5,16.8,7.4,2.6,0.02
Central Harlem North-Polo Grounds,MN03,Manhattan,110,86117.00,9137.00,10.6,26.3,25.8,10.1,58.7,2.1,0.03
Hamilton Heights,MN04,Manhattan,109,52700.00,5565.00,10.6,26.1,48.3,18.2,25.8,3.4,0.04
Manhattanville,MN06,Manhattan,109,23673.00,2719.00,11.5,35.2,52.5,11.1,29.2,5.4,0.02
Morningside Heights,MN09,Manhattan,109,53094.00,7812.00,14.7,17,23.2,44.4,13.8,15.5,0.03
Central Harlem South,MN11,Manhattan,110,51064.00,5149.00,10.1,36.2,20.5,21,49.6,5.7,0.03
Upper West Side,MN12,Manhattan,107,132455.00,26884.00,20.3,11.7,16.6,67.3,5.9,7.3,0.03
Hudson Yards-Chelsea-Flatiron-Union Square MN13,,Manhattan,104,76863.00,10144.00,13.2,11.7,13.9,62.4,5.3,15.6,0.03
Lincoln Square MN14,,Manhattan,107,62685.00,13254.00,21.1,8.4,10.4,69.4,4.2,13,0.03
Clinton MN15,,Manhattan,104,49758.00,6597.00,13.3,22,21.1,52.8,5.5,17.5,0.03
Midtown-Midtown South MN17,,Manhattan,105,27875.00,4011.00,14.4,15.1,9.8,61.5,4.5,20.8,0.03
Turtle Bay-East Midtown MN19,,Manhattan,106,50180.00,12558.00,25,5.2,4.9,75.1,1.4,16.2,0.03
Murray Hill-Kips Bay MN20,,Manhattan,106,47775.00,7393.00,15.5,13.6,9.2,62.5,4.6,19.8,0.04
Gramercy MN21,,Manhattan,106,26928.00,3283.00,12.2,6.7,7.7,70.6,3.9,15.4,0.03
East Village MN22,,Manhattan,103,42529.00,4548.00,10.7,17.4,12.4,64.9,6.7,13.7,0.02
West Village MN23,,Manhattan,102,66258.00,10866.00,16.4,8.4,6,80,2.1,8.5,0.03
SoHo-TriBeCa-Civic Center-Little Italy MN24,,Manhattan,101,42698.00,5688.00,13.3,14.4,6.3,66.2,2.2,21.5,0.04
Battery Park City-Lower Manhattan MN25,,Manhattan,101,45680.00,3188.00,7,17,7.4,66.5,2.4,19.9,0.04
Chinatown MN27,,Manhattan,103,44062.00,9648.00,21.9,38.8,15.2,18.3,5.3,57.7,0.03
Lower East Side MN28,,Manhattan,103,68404.00,13475.00,19.7,34,39.4,23.3,11.4,23.6,0.02
Lenox Hill-Roosevelt Island MN31,,Manhattan,108,81559.00,14261.00,17.5,5.8,10.7,70,3.2,13.5,0.03
Yorkville MN32,,Manhattan,108,78241.00,13499.00,17.3,8.7,10.7,75,2.5,9.4,0.02
East Harlem South MN33,,Manhattan,111,59869.00,8434.00,14.1,28.4,44,19.7,23.4,11.1,0.02
East Harlem North MN34,,Manhattan,111,62810.00,7507.00,12,39.5,47.7,7.8,37.5,4.5,0.02
Washington Heights North MN35,,Manhattan,112,73052.00,11398.00,15.6,22.6,64.3,26.8,4.3,2.7,0.02
Washington Heights South MN36,,Manhattan,112,93663.00,12460.00,13.3,30,70.8,13.9,10.2,3.6,0.02
Upper East Side-Carnegie Hill MN40,,Manhattan,108,55649.00,17102.00,30.7,4.3,6.7,83.3,0.7,6.5,0.03
Stuyvesant Town-Cooper Village MN50,,Manhattan,106,22032.00,3541.00,16.1,8.7,8.2,72.2,4.8,11.8,0.03
park-cemetery-etc-Manhattan MN99,,Manhattan,111,1885.00,184.00,9.8,73,23,18.8,51.7,3.2,0.03
South Jamaica QN01,,Queens,412,43253.00,5107.00,11.8,17.6,16.6,1.4,62.1,8.6,0.11
Springfield Gardens North QN02,,Queens,412,27649.00,4849.00,17.5,10.2,6.1,1,89.6,2.1,0.01
Springfield Gardens South-Brookville QN03,,Queens,413,22380.00,3037.00,13.6,7.3,5.6,3,87.1,1.9,0.02
Rosedale QN05,,Queens,413,26117.00,3284.00,12.6,7.9,10.3,3.4,81.1,2.2,0.03
Jamaica Estates-Holliswood QN06,,Queens,408,26517.00,4685.00,17.7,9.8,15.4,22.3,24.7,32.5,0.05
Hollis QN07,,Queens,412,21448.00,2994.00,14,7.3,10.3,2.4,63.8,14.8,0.09
St. Albans QN08,,Queens,412,53134.00,7772.00,14.6,9.9,5.6,1.3,88.1,2.2,0.03
Breezy Point-Belle Harbor-Rockaway Park-Broad Cha QN10,,Queens,414,27894.00,5585.00,20,11.2,13.6,75.6,5.8,2.8,0.02
Hammels-Arverne-Edgemere QN12,,Queens,414,41470.00,4836.00,11.7,15,28.3,16.1,47.1,5.1,0.04
Far Rockaway-Bayswater QN15,,Queens,414,56522.00,7310.00,12.9,22.3,25.7,27,42.3,3.4,0.02
Forest Hills,QN17,Queens,406,88313.00,17622.00,20,13.8,15.8,49.9,2.4,27.5,0.04
Rego Park,QN18,Queens,406,27739.00,6120.00,22.1,15.7,14.9,40.5,5.2,36.8,0.03
Glendale,QN19,Queens,405,35576.00,4865.00,13.7,10.6,37.8,55.5,1.4,4.3,0.01
Ridgewood,QN20,Queens,405,75437.00,6591.00,8.7,10.4,47.6,41.2,1.7,7.8,0.02
Middle Village,QN21,Queens,405,40435.00,7253.00,17.9,7.9,20.1,67.1,0.8,10.2,0.02
Flushing,QN22,Queens,407,70219.00,13135.00,18.7,31.4,14.6,7.7,3.8,71.6,0.02
College Point,QN23,Queens,407,24795.00,3568.00,14.4,14.1,40.5,25.6,2,29.4,0.03
Corona,QN25,Queens,404,58498.00,6111.00,10.4,24.4,63.9,6.5,13,15,0.02
North Corona,QN26,Queens,403,54146.00,3626.00,6.7,19.9,88,1.1,3.2,7,0.01
East Elmhurst,QN27,Queens,403,19790.00,2826.00,14.3,17.3,60.7,5.3,21.6,11.1,0.01
Jackson Heights,QN28,Queens,403,98728.00,15448.00,15.6,17.2,56,16.6,2.6,22.9,0.02
Elmhurst,QN29,Queens,404,81745.00,10898.00,13.3,18.7,44.7,6,1.7,45.6,0.02
Maspeth,QN30,Queens,405,32179.00,4094.00,12.7,11.7,30.9,53.1,1.5,12.4,0.02
Hunters Point-Sunnyside-West Maspeth,QN31,Queens,402,69295.00,6837.00,9.9,10,31.9,38.5,2.2,24.5,0.03
Cambria Heights,QN33,Queens,413,21207.00,4168.00,19.7,6.5,6.6,0.9,89.8,0.4,0.02
Queens Village,QN34,Queens,413,54256.00,8071.00,14.9,9.4,18.5,5.6,47.7,15.3,0.13
Briarwood-Jamaica Hills,QN35,Queens,408,43476.00,5947.00,13.7,15.4,26.5,15.7,11.6,40.1,0.06
Kew Gardens Hills,QN37,Queens,408,37584.00,5703.00,15.2,10.1,15,51.5,6.6,23.9,0.03
Pomonok-Flushing Heights-Hillcrest,QN38,Queens,408,36975.00,4874.00,13.2,14.2,24.1,30.3,11.4,31.2,0.03
Fresh Meadows-Utopia,QN41,Queens,408,18699.00,3155.00,16.9,11.2,11.7,29.6,5.8,49.3,0.04
Oakland Gardens,QN42,Queens,411,30316.00,5444.00,18,10.3,9.9,37.7,2.6,46.9,0.03
Bellerose,QN43,Queens,413,27733.00,4196.00,15.1,10.3,21.1,25.5,7.9,41.7,0.04
Glen Oaks-Floral Park-New Hyde Park,QN44,Queens,413,24365.00,6321.00,25.9,8,10.6,40.2,5.4,40.5,0.03
Douglas Manor-Douglaston-Little Neck,QN45,Queens,411,25633.00,6310.00,24.6,6.7,10,46,1,40.4,0.03
Bayside-Bayside Hills,QN46,Queens,411,43212.00,8712.00,20.2,8.1,11.5,39.7,2.4,45.1,0.01
Ft. Totten-Bay Terrace-Clearview,QN47,Queens,407,22700.00,5810.00,25.6,9.4,12.6,57.2,0.8,27.4,0.02
Auburndale,QN48,Queens,411,20588.00,3982.00,19.3,9.9,13.6,32.8,1.1,49.9,0.03
Whitestone,QN49,Queens,407,31971.00,6978.00,21.8,7.4,14.5,60.7,0.4,22.2,0.02
Elmhurst-Maspeth,QN50,Queens,402,24234.00,3458.00,14.3,9,27,12.9,0.8,57.8,0.02
Murray Hill,QN51,Queens,407,50231.00,9834.00,19.6,20.3,15.8,23.7,1.7,56.8,0.02
East Flushing,QN52,Queens,407,25677.00,4731.00,18.4,23.7,17.8,15,1.1,64.2,0.02
Woodhaven,QN53,Queens,409,60572.00,7126.00,11.8,10.1,55.2,15.5,3.1,23.6,0.03
Richmond Hill QN54,,Queens,409,65068.00,7125.00,11,13.9,36.6,10.5,7.9,31.5,0.14
South Ozone Park QN55,,Queens,410,82931.00,10091.00,12.2,12.2,22.1,5.2,21,29.9,0.22
Ozone Park QN56,,Queens,410,24511.00,2748.00,11.2,9.9,42.5,21.5,5.3,24.9,0.06
Lindenwood-Howard Beach QN57,,Queens,410,29219.00,6420.00,22,9.8,22.3,67.8,1.8,5,0.03
Kew Gardens QN60,,Queens,409,23166.00,3700.00,16,17.5,26.2,45.9,5.1,18,0.05
Jamaica QN61,,Queens,412,53932.00,6401.00,11.9,18.1,35.2,3.3,15.7,34.7,0.11
Queensboro Hill QN62,,Queens,407,20269.00,2925.00,14.4,17.7,16.8,12.3,1.4,67.7,0.02
Woodside QN63,,Queens,402,43841.00,6896.00,15.7,14.9,33.8,22.6,0.8,40.4,0.02
Laurelton QN66,,Queens,413,26544.00,4659.00,17.6,5.8,5.7,1.2,89.7,0.7,0.03
Queensbridge-Ravenswood-Long Island City QN68,,Queens,401,19228.00,2184.00,11.4,36.2,34.5,15.5,25,21,0.04
Astoria QN70,,Queens,401,74767.00,9731.00,13,16.7,26.4,50.3,3.6,16.7,0.03
Old Astoria QN71,,Queens,401,24732.00,3123.00,12.6,19.1,32.5,39.4,9.8,15.6,0.03
Steinway QN72,,Queens,401,48235.00,6737.00,14,9.3,20.9,62.8,2.5,11.3,0.02
Baisley Park QN76,,Queens,412,39203.00,4595.00,11.7,7.5,12.3,1,68.5,7.1,0.11
Airport QN98,,Queens,483,-,-,,,,,,,#DIV/0!
park-cemetery-etc-Queens QN99,,Queens,409,159.00,48.00,30.2,31.2,44,45.3,,10.7,0.00
Annadale-Huguenot-Prince's Bay-Eltingville SI01,,Staten Isla,503,28976.00,5354.00,18.5,5.2,7.3,86.8,0.9,3.9,0.01
New Springville-Bloomfield-Travis SI05,,Staten Isla,502,41936.00,7233.00,17.2,10.7,14.9,58.9,4.1,19.4,0.03
Westerleigh SI07,,Staten Isla,501,24111.00,3882.00,16.1,9.3,15.6,71.1,3.2,8.9,0.01
Grymes Hill-Clifton-Fox Hills SI08,,Staten Isla,501,21707.00,2538.00,11.7,22.8,27.6,27.4,32.2,11,0.02
Charleston-Richmond Valley-Tottenville SI11,,Staten Isla,503,24275.00,2778.00,11.4,8.4,9.8,85.5,0.9,3.3,0.01
Mariner's Harbor-Arlington-Port Ivory-Graniteville SI12,,Staten Isla,501,31907.00,3169.00,9.9,21.6,37.3,21.6,28.5,10.1,0.03
Grasmere-Arrochar-Ft. Wadsworth SI14,,Staten Isla,502,16292.00,2415.00,14.8,11.5,14.6,62.8,7.2,12.7,0.03
West New Brighton-New Brighton-St. George SI22,,Staten Isla,501,32172.00,4218.00,13.1,20.1,33,24.3,31.4,5.6,0.06
Todt Hill-Emerson Hill-Heartland Village-Lighthouse HSI24,,Staten Isla,502,32348.00,6313.00,19.5,8.8,10.2,71.2,2.3,14.6,0.02
Oakwood-Oakwood Beach SI25,,Staten Isla,503,20509.00,4136.00,20.2,11.2,14.4,76.7,2,4.2,0.03
Port Richmond SI28,,Staten Isla,501,19545.00,2228.00,11.4,10.1,38.3,37,16.5,6.7,0.02
Rossville-Woodrow SI32,,Staten Isla,503,22197.00,3961.00,17.8,12.2,8.5,86.1,0.1,3.6,0.02
New Brighton-Silver Lake SI35,,Staten Isla,501,17105.00,2902.00,17,9,23.8,60.8,7.3,5.8,0.02
Old Town-Dongan Hills-South Beach SI36,,Staten Isla,502,25453.00,3984.00,15.7,15.1,15.5,67,4.9,10,0.03
Stapleton-Rosebank SI37,,Staten Isla,501,25347.00,3520.00,13.9,18.3,28.4,37.3,20.2,11,0.03
New Dorp-Midland Beach SI45,,Staten Isla,502,20933.00,3205.00,15.3,7.4,15.1,73.9,3.5,6.7,0.01
Arden Heights,SI48,Staten Isla,503,26982.00,3990.00,14.8,9.7,13.4,77.5,1.6,6.1,0.01
Great Kills,SI54,Staten Isla,503,42306.00,7499.00,17.7,10.7,9.4,83.5,0.9,5.2,0.01